chrom	start	end	strand	source	field_type	gene_type	gene_status	gene_name	transcript_type	transcript_status	transcript_name	gene_id	transcript_id
chr1	69091	70008	+	HAVANA	transcript	protein_coding	KNOWN	OR4F5	protein_coding	KNOWN	OR4F5-001	ENSG00000186092.4	ENST00000335137.3
chr1	134901	139379	-	ENSEMBL	transcript	protein_coding	KNOWN	AL627309.1	protein_coding	KNOWN	AL627309.1-201	ENSG00000237683.5	ENST00000423372.3
chr1	367640	368634	+	HAVANA	transcript	protein_coding	KNOWN	OR4F29	protein_coding	KNOWN	OR4F29-001	ENSG00000235249.1	ENST00000426406.1
chr1	621059	622053	-	HAVANA	transcript	protein_coding	KNOWN	OR4F16	protein_coding	KNOWN	OR4F16-001	ENSG00000185097.2	ENST00000332831.2
chr1	738532	739137	-	ENSEMBL	transcript	protein_coding	NOVEL	AL669831.1	protein_coding	NOVEL	AL669831.1-201	ENSG00000269831.1	ENST00000599533.1
chr1	818043	819983	+	ENSEMBL	transcript	protein_coding	NOVEL	AL645608.2	protein_coding	NOVEL	AL645608.2-201	ENSG00000269308.1	ENST00000594233.1
chr1	860260	874671	+	HAVANA	transcript	protein_coding	KNOWN	SAMD11	protein_coding	KNOWN	SAMD11-011	ENSG00000187634.6	ENST00000420190.1
chr1	860530	871173	+	HAVANA	transcript	protein_coding	KNOWN	SAMD11	protein_coding	KNOWN	SAMD11-003	ENSG00000187634.6	ENST00000437963.1
chr1	861118	879955	+	HAVANA	transcript	protein_coding	KNOWN	SAMD11	protein_coding	KNOWN	SAMD11-010	ENSG00000187634.6	ENST00000342066.3
chr1	865692	879955	+	HAVANA	transcript	protein_coding	KNOWN	SAMD11	protein_coding	NOVEL	SAMD11-001	ENSG00000187634.6	ENST00000341065.4
chr1	874655	879639	+	HAVANA	transcript	protein_coding	KNOWN	SAMD11	protein_coding	NOVEL	SAMD11-004	ENSG00000187634.6	ENST00000455979.1
chr1	861264	866445	-	ENSEMBL	transcript	protein_coding	NOVEL	AL645608.1	protein_coding	NOVEL	AL645608.1-201	ENSG00000268179.1	ENST00000598827.1
chr1	879584	894670	-	HAVANA	transcript	protein_coding	KNOWN	NOC2L	protein_coding	KNOWN	NOC2L-001	ENSG00000188976.6	ENST00000327044.6
chr1	895967	901095	+	HAVANA	transcript	protein_coding	KNOWN	KLHL17	protein_coding	KNOWN	KLHL17-001	ENSG00000187961.9	ENST00000338591.3
chr1	901877	910488	+	HAVANA	transcript	protein_coding	KNOWN	PLEKHN1	protein_coding	KNOWN	PLEKHN1-001	ENSG00000187583.6	ENST00000379410.3
chr1	901882	910388	+	HAVANA	transcript	protein_coding	KNOWN	PLEKHN1	protein_coding	KNOWN	PLEKHN1-005	ENSG00000187583.6	ENST00000379409.2
chr1	901882	910388	+	HAVANA	transcript	protein_coding	KNOWN	PLEKHN1	protein_coding	KNOWN	PLEKHN1-004	ENSG00000187583.6	ENST00000379407.3
chr1	908892	911245	+	HAVANA	transcript	protein_coding	KNOWN	PLEKHN1	protein_coding	PUTATIVE	PLEKHN1-003	ENSG00000187583.6	ENST00000491024.1
chr1	910579	917497	-	ENSEMBL	transcript	protein_coding	KNOWN	C1orf170	protein_coding	KNOWN	C1orf170-201	ENSG00000187642.5	ENST00000433179.2
chr1	910584	917473	-	HAVANA	transcript	protein_coding	KNOWN	C1orf170	protein_coding	PUTATIVE	C1orf170-001	ENSG00000187642.5	ENST00000341290.2
chr1	934342	935552	-	HAVANA	transcript	protein_coding	KNOWN	HES4	protein_coding	KNOWN	HES4-002	ENSG00000188290.6	ENST00000428771.2
chr1	934344	935491	-	HAVANA	transcript	protein_coding	KNOWN	HES4	protein_coding	KNOWN	HES4-001	ENSG00000188290.6	ENST00000304952.6
chr1	934350	935361	-	HAVANA	transcript	protein_coding	KNOWN	HES4	protein_coding	NOVEL	HES4-004	ENSG00000188290.6	ENST00000484667.2
chr1	948803	949920	+	HAVANA	transcript	protein_coding	KNOWN	ISG15	protein_coding	KNOWN	ISG15-001	ENSG00000187608.5	ENST00000379389.4
chr1	955503	991496	+	HAVANA	transcript	protein_coding	KNOWN	AGRN	protein_coding	KNOWN	AGRN-001	ENSG00000188157.9	ENST00000379370.2
chr1	985936	989330	+	HAVANA	transcript	protein_coding	KNOWN	AGRN	protein_coding	KNOWN	AGRN-009	ENSG00000188157.9	ENST00000419249.1
chr1	1006346	1009687	-	HAVANA	transcript	protein_coding	KNOWN	RNF223	protein_coding	KNOWN	RNF223-001	ENSG00000237330.2	ENST00000453464.2
chr1	1017198	1051461	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-002	ENSG00000131591.13	ENST00000379339.1
chr1	1017198	1051736	-	ENSEMBL	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-203	ENSG00000131591.13	ENST00000448924.1
chr1	1017198	1051736	-	ENSEMBL	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-201	ENSG00000131591.13	ENST00000294576.5
chr1	1017203	1051478	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-001	ENSG00000131591.13	ENST00000421241.2
chr1	1017615	1027554	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	NOVEL	C1orf159-004	ENSG00000131591.13	ENST00000379320.1
chr1	1018080	1041507	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-009	ENSG00000131591.13	ENST00000379319.1
chr1	1018296	1051475	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	PUTATIVE	C1orf159-011	ENSG00000131591.13	ENST00000434641.1
chr1	1019834	1051736	-	ENSEMBL	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-202	ENSG00000131591.13	ENST00000437760.1
chr1	1022519	1051736	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-008	ENSG00000131591.13	ENST00000462097.1
chr1	1022570	1051741	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-007	ENSG00000131591.13	ENST00000475119.1
chr1	1022955	1028193	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-017	ENSG00000131591.13	ENST00000442117.1
chr1	1025786	1028193	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	PUTATIVE	C1orf159-016	ENSG00000131591.13	ENST00000427787.1
chr1	1026880	1051469	-	HAVANA	transcript	protein_coding	KNOWN	C1orf159	protein_coding	KNOWN	C1orf159-015	ENSG00000131591.13	ENST00000480643.1
chr1	1109283	1133315	+	HAVANA	transcript	protein_coding	KNOWN	TTLL10	protein_coding	KNOWN	TTLL10-002	ENSG00000162571.9	ENST00000379290.1
chr1	1109286	1133313	+	HAVANA	transcript	protein_coding	KNOWN	TTLL10	protein_coding	KNOWN	TTLL10-201	ENSG00000162571.9	ENST00000379289.1
chr1	1115077	1121244	+	HAVANA	transcript	protein_coding	KNOWN	TTLL10	protein_coding	KNOWN	TTLL10-001	ENSG00000162571.9	ENST00000379288.3
chr1	1138888	1141951	-	HAVANA	transcript	protein_coding	KNOWN	TNFRSF18	protein_coding	KNOWN	TNFRSF18-003	ENSG00000186891.9	ENST00000328596.6
chr1	1138891	1142071	-	HAVANA	transcript	protein_coding	KNOWN	TNFRSF18	protein_coding	KNOWN	TNFRSF18-001	ENSG00000186891.9	ENST00000379268.2
chr1	1139224	1141060	-	HAVANA	transcript	protein_coding	KNOWN	TNFRSF18	protein_coding	PUTATIVE	TNFRSF18-004	ENSG00000186891.9	ENST00000486728.1
chr1	1139224	1141951	-	HAVANA	transcript	protein_coding	KNOWN	TNFRSF18	protein_coding	KNOWN	TNFRSF18-002	ENSG00000186891.9	ENST00000379265.5
chr1	1146706	1149512	-	HAVANA	transcript	protein_coding	KNOWN	TNFRSF4	protein_coding	KNOWN	TNFRSF4-001	ENSG00000186827.6	ENST00000379236.3
chr1	1152288	1167381	-	HAVANA	transcript	protein_coding	KNOWN	SDF4	protein_coding	KNOWN	SDF4-001	ENSG00000078808.12	ENST00000360001.6
chr1	1152311	1167411	-	HAVANA	transcript	protein_coding	KNOWN	SDF4	protein_coding	KNOWN	SDF4-007	ENSG00000078808.12	ENST00000263741.7
chr1	1153903	1163976	-	HAVANA	transcript	protein_coding	KNOWN	SDF4	protein_coding	KNOWN	SDF4-006	ENSG00000078808.12	ENST00000403997.2
chr1	1156079	1167370	-	ENSEMBL	transcript	protein_coding	KNOWN	SDF4	protein_coding	KNOWN	SDF4-201	ENSG00000078808.12	ENST00000545427.1
chr1	1167629	1170421	+	HAVANA	transcript	protein_coding	KNOWN	B3GALT6	protein_coding	KNOWN	B3GALT6-001	ENSG00000176022.3	ENST00000379198.2
chr1	1177833	1182102	-	HAVANA	transcript	protein_coding	KNOWN	FAM132A	protein_coding	KNOWN	FAM132A-001	ENSG00000184163.3	ENST00000330388.2
chr1	1189294	1209234	-	ENSEMBL	transcript	protein_coding	KNOWN	UBE2J2	protein_coding	KNOWN	UBE2J2-202	ENSG00000160087.16	ENST00000347370.2
